"","X","date","zip","resp","diar","pop","hh.size","lat","long","fitted1"
"81",81,"2020-02-27",6247,0,0,6065,1,41.764698,-72.068482,0.0262532726492421
"82",82,"2020-02-27",6248,0,0,6639,3,41.682179,-72.4007775,0.444068502325473
"83",83,"2020-02-27",6249,0,0,8661,2,41.6265445,-72.245804,0.147373029426451
"84",84,"2020-02-27",6250,2,0,8171,4,41.781562,-72.2061075,2.14842323448511
"85",85,"2020-02-27",6254,0,0,7594,4,41.6142705,-72.149072,1.99671105650225
"86",86,"2020-02-27",6255,0,0,7952,3,41.978582407,-71.901796,0.531892262463046
"87",87,"2020-02-27",6256,0,0,7252,1,41.7561135,-72.1288565,0.0313913822345101
"88",88,"2020-02-27",6259,0,0,8148,1,41.8618165,-71.9943135,0.0352698541708202
"89",89,"2020-02-27",6260,0,0,8833,3,41.90082831,-71.86525094,0.590820467094578
"90",90,"2020-02-27",6262,0,0,7880,1,42.020178091,-71.9478735,0.0341097755112989
"91",91,"2020-02-27",6264,0,0,7078,3,41.6930585,-72.102132,0.473432272851288
"92",92,"2020-02-27",6266,0,0,7296,3,41.6737795,-72.1482635,0.488013826324243
"93",93,"2020-02-27",6268,0,0,7187,2,41.7911465,-72.2532095,0.122291878823219
"94",94,"2020-02-27",6269,0,0,7587,1,41.804209,-72.250869,0.0328414805589117
"95",95,"2020-02-27",6277,0,0,7711,1,41.977030122,-71.8610759,0.0333782333715261
"96",96,"2020-02-27",6278,0,0,7673,1,41.895535,-72.164752,0.0332137446063701
"97",97,"2020-02-27",6279,0,0,6754,1,41.8966655,-72.2733795,0.0292357136806234
"98",98,"2020-02-27",6280,0,0,7843,1,41.70083,-72.138186,0.0339496153978575
"99",99,"2020-02-27",6281,0,0,6562,1,41.969208257,-72.01467455,0.0284046125514141
"100",100,"2020-02-27",6282,0,0,8572,1,41.9423045,-72.061495,0.0371052024978241
"101",101,"2020-02-27",6320,0,0,9511,2,41.345452583,-72.1087705,0.161836379502941
"102",102,"2020-02-27",6330,0,0,8123,3,41.642066,-72.067582,0.54333008651752
"103",103,"2020-02-27",6331,0,0,7623,1,41.697212,-71.99386,0.0329973120206385
"104",104,"2020-02-27",6333,7,2,8956,5,41.3765475,-72.2368105,9.25669690365316
"105",105,"2020-02-27",6334,0,0,6619,1,41.546748,-72.179573,0.0286513456991481
"106",106,"2020-02-27",6335,0,0,7203,1,41.439648,-72.062324,0.0311792783004931
"107",107,"2020-02-27",6336,0,0,7805,3,41.580798,-72.194556,0.522059747047795
"108",108,"2020-02-27",6339,0,0,7669,1,41.4442295,-71.9988785,0.0331964299995116
"109",109,"2020-02-27",6340,0,0,8262,1,41.358567831,-72.035169,0.0357633204662882
"110",110,"2020-02-27",6351,0,0,7946,3,41.599186,-71.962785,0.53149093530324
"111",111,"2020-02-27",6354,0,1,6348,4,41.7048385,-71.8489915,1.66909689052888
"112",112,"2020-02-27",6355,1,1,6779,4,41.376712004,-71.9765675,1.78242089176044
"113",113,"2020-02-27",6357,0,0,7269,1,41.331056721,-72.215723,0.0314649693136588
"114",114,"2020-02-27",6359,0,1,8105,2,41.472796406,-71.87991184,0.137912296905829
"115",115,"2020-02-27",6360,0,0,8372,2,41.536679,-72.0022545,0.142455490400444
"116",116,"2020-02-27",6365,0,0,8366,2,41.519179,-71.95439,0.14235339616461
"117",117,"2020-02-27",6370,0,0,6507,3,41.4645975,-72.188621,0.435239304809738
"118",118,"2020-02-27",6371,0,0,6415,2,41.359299358,-72.33961925,0.109155753812571
"119",119,"2020-02-27",6373,0,0,7287,1,41.669529314,-71.8055435,0.0315428850445222
"120",120,"2020-02-27",6374,0,0,8958,2,41.69105,-71.909045,0.152426694100236
"121",121,"2020-02-27",6375,0,0,6667,2,41.398998,-72.1329215,0.113443711717601
"122",122,"2020-02-27",6376,0,0,8129,2,41.2947745,-72.256424,0.138320673849165
"123",123,"2020-02-27",6377,0,0,6633,1,41.720241757,-71.81899347,0.028711946823153
"124",124,"2020-02-27",6378,0,0,6909,2,41.380467223,-71.9177436,0.117561512562908
"125",125,"2020-02-27",6379,0,0,8732,3,41.368473572,-71.86416896,0.584064793237842
"126",126,"2020-02-27",6380,0,0,9008,1,41.570348,-72.0544705,0.0389924946454036
"127",127,"2020-02-27",6382,0,0,6595,2,41.461548,-72.130872,0.112218580887593
"128",128,"2020-02-27",6384,0,0,7362,1,41.5770525,-71.86072971,0.0318675339231196
"129",129,"2020-02-27",6385,0,0,7004,3,41.359548,-72.1602215,0.468482571213678
"130",130,"2020-02-27",6401,0,1,7789,2,41.3432825,-73.0706515,0.132535333818569
"131",131,"2020-02-27",6403,0,0,8139,2,41.418219,-73.0588355,0.138490830908888
"132",132,"2020-02-27",6405,0,0,7150,1,41.28827042,-72.794942,0.0309498597596176
"133",133,"2020-02-27",6409,0,0,8192,3,41.3488045,-72.4178625,0.54794534885529
"134",134,"2020-02-27",6410,0,3,8036,4,41.505947,-72.9081225,2.11292731762604
"135",135,"2020-02-27",6412,0,0,8202,1,41.403088,-72.483442,0.0355036013634103
"136",136,"2020-02-27",6413,0,0,7284,2,41.298622694,-72.53628225,0.123942402302536
"137",137,"2020-02-27",6415,0,0,7637,1,41.5471395,-72.343027,0.0330579131446433
"138",138,"2020-02-27",6416,0,0,6518,2,41.606102,-72.66779,0.110908371527722
"139",139,"2020-02-27",6417,0,0,7912,2,41.367911,-72.4540115,0.134628265653167
"140",140,"2020-02-27",6418,0,1,6294,2,41.327146,-73.0815475,0.107096853389918
"141",141,"2020-02-27",6419,0,0,8835,2,41.376444,-72.583236,0.150333762265638
"142",142,"2020-02-27",6420,0,0,8456,1,41.4858115,-72.267777,0.0366030788989268
"143",143,"2020-02-27",6422,0,1,7034,2,41.4617685,-72.6775505,0.119688475809451
"144",144,"2020-02-27",6423,0,0,7508,1,41.477734,-72.390982,0.0324995170734558
"145",145,"2020-02-27",6424,0,0,8099,2,41.5572605,-72.4947215,0.137810202669994
"146",146,"2020-02-27",6426,0,0,8312,2,41.352391,-72.3999315,0.141434548042103
"147",147,"2020-02-27",6430,0,1,7009,3,41.174596,-73.28431,0.468817010513517
"148",148,"2020-02-27",6432,0,0,6626,1,41.196246,-73.2446085,0.0286816462611506
"149",149,"2020-02-27",6437,0,0,7014,3,41.3391385,-72.690719,0.469151449813356
"150",150,"2020-02-27",6438,0,0,6512,1,41.4601525,-72.4975835,0.0281881799656825
"151",151,"2020-02-27",6441,0,0,6914,1,41.4628325,-72.580045,0.0299282979549645
"152",152,"2020-02-27",6442,0,0,7207,2,41.344698,-72.444631,0.122632192942666
"153",153,"2020-02-27",6443,0,0,7867,1,41.3443485,-72.60872551,0.0340535030390086
"154",154,"2020-02-27",6447,0,1,7111,2,41.636349,-72.4567795,0.120998685169321
"155",155,"2020-02-27",6450,0,0,6817,3,41.537225,-72.7800865,0.455974541399721
"156",156,"2020-02-27",6451,0,0,9683,1,41.5422135,-72.8195295,0.0419143345527801
"157",157,"2020-02-27",6455,0,0,6810,1,41.518291,-72.7130475,0.0294781181766428
"158",158,"2020-02-27",6457,0,0,7069,2,41.5496975,-72.653095,0.120284025518483
"159",159,"2020-02-27",6460,0,1,7446,2,41.2240965,-73.05286363,0.126698946670056
"160",160,"2020-02-27",6468,0,0,7797,1,41.3418455,-73.231708,0.0337504974189844
"161",161,"2020-02-27",6469,0,0,9136,1,41.5061835,-72.4430765,0.0395465620648765
"162",162,"2020-02-27",6470,0,0,7363,3,41.394745,-73.3142115,0.492495312942078
"163",163,"2020-02-27",6471,0,0,8351,2,41.338597,-72.782892,0.142098160575025
"164",164,"2020-02-27",6472,0,0,6651,2,41.376419,-72.7691915,0.113171460422044
"165",165,"2020-02-27",6473,0,0,7767,3,41.383447,-72.8634905,0.519518008369024
"166",166,"2020-02-27",6475,1,0,6844,3,41.301433,-72.390459,0.457780513618849
"167",167,"2020-02-27",6477,0,0,8352,1,41.279497,-73.03295,0.0361528991206051
"168",168,"2020-02-27",6478,9,5,6894,5,41.42863,-73.1428835,7.12546543700143
"169",169,"2020-02-27",6479,0,0,7735,2,41.576095,-72.9006965,0.131616485696062
"170",170,"2020-02-27",6480,0,0,8754,2,41.583827,-72.587932,0.148955490081878
"171",171,"2020-02-27",6481,0,0,6537,1,41.5344515,-72.700163,0.0282963962585483
"172",172,"2020-02-27",6482,0,0,8075,2,41.4047505,-73.250359,0.137401825726658
"173",173,"2020-02-27",6483,0,0,6803,2,41.384598,-73.0943275,0.11575784772984
"174",174,"2020-02-27",6484,0,0,8700,1,41.315846,-73.135431,0.037659269917297
"175",175,"2020-02-27",6488,1,2,7459,3,41.4674795,-73.240607,0.498916547498976
"176",176,"2020-02-27",6489,0,0,7461,1,41.600498,-72.876422,0.0322960704428681
"177",177,"2020-02-27",6490,0,0,7838,2,41.143267183,-73.293099,0.133369103411213
"178",178,"2020-02-27",6492,0,0,8185,1,41.456603,-72.810266,0.0354300142842616
"179",179,"2020-02-27",6498,0,0,8753,2,41.308923975,-72.46529632,0.148938474375906
"180",180,"2020-02-27",6504,0,0,7959,1,41.303647,-72.934946,0.0344517389967548
"181",181,"2020-02-27",6510,0,1,7949,2,41.307697,-72.926446,0.135257846774143
"182",182,"2020-02-27",6511,1,0,7844,2,41.308047,-72.923896,0.133471197647047
"183",183,"2020-02-27",6512,11,0,7110,3,41.283747,-72.864094,0.475572684370254
"184",184,"2020-02-27",6513,0,0,6381,1,41.315426,-72.8627945,0.0276211265910657
"185",185,"2020-02-27",6514,0,0,7337,2,41.3721665,-72.941369,0.12484423471907
"186",186,"2020-02-27",6515,0,0,7479,1,41.3305385,-72.9685975,0.0323739861737315
"187",187,"2020-02-27",6516,0,0,7444,2,41.274447,-72.95767324,0.126664915258111
"188",188,"2020-02-27",6517,0,0,6595,2,41.345797,-72.904446,0.112218580887593
"189",189,"2020-02-27",6518,0,0,8992,2,41.417547,-72.907346,0.153005228103296
"190",190,"2020-02-27",6519,7,1,8322,3,41.293447,-72.9385965,0.556640770651089
"191",191,"2020-02-27",6524,0,0,6147,3,41.4298385,-72.993253,0.411159675221371
"192",192,"2020-02-27",6525,0,0,7770,3,41.3530465,-73.0017995,0.519718671948927
"193",193,"2020-02-27",6604,0,0,7023,1,41.188977,-73.211005,0.0304001209918594
"194",194,"2020-02-27",6605,0,0,7816,1,41.161449194,-73.216557,0.0338327418015625
"195",195,"2020-02-27",6606,1,1,7498,4,41.208796,-73.2115575,1.97146951562469
"196",196,"2020-02-27",6607,0,1,8143,2,41.1762965,-73.1663045,0.138558893732778
"197",197,"2020-02-27",6608,0,0,8335,1,41.188746,-73.180356,0.0360793120414564
"198",198,"2020-02-27",6610,0,0,6243,2,41.206646,-73.171405,0.106229052385329
"199",199,"2020-02-27",6611,0,0,9437,1,41.259907,-73.208257,0.0408494862309806
"200",200,"2020-02-27",6612,0,0,7935,2,41.2725455,-73.302861,0.135019626890531
"201",201,"2020-02-27",6614,0,0,7393,1,41.230496,-73.1257035,0.0320017221262732
"202",202,"2020-02-27",6615,0,0,7436,2,41.1729465,-73.13923432,0.126528789610332
"203",203,"2020-02-27",6702,0,0,7080,3,41.559746,-73.0431255,0.473566048571223
"204",204,"2020-02-27",6704,0,0,8053,2,41.582897,-73.033901,0.137027480195267
"205",205,"2020-02-27",6705,0,0,6981,2,41.551547,-72.992688,0.118786643392917
"206",206,"2020-02-27",6706,0,0,8370,1,41.534596,-73.0231505,0.0362308148514685
"207",207,"2020-02-27",6708,0,0,7440,3,41.543396,-73.065152,0.49764567815959
"208",208,"2020-02-27",6710,0,0,6563,3,41.5696465,-73.0468515,0.438985024967929
"209",209,"2020-02-27",6712,0,0,7206,1,41.499397,-72.976401,0.031192264255637
"210",210,"2020-02-27",6716,0,0,6379,2,41.598854,-72.9775585,0.108543188397567
"211",211,"2020-02-27",6750,0,0,7491,2,41.7249315,-73.2564865,0.127464653438811
"212",212,"2020-02-27",6751,0,0,7663,1,41.6421055,-73.211003,0.0331704580892237
"213",213,"2020-02-27",6752,0,0,8991,1,41.517055,-73.358267,0.0389189075662549
"214",214,"2020-02-27",6754,0,0,6693,1,41.7976265,-73.3687625,0.0289716659260309
"215",215,"2020-02-27",6755,0,0,7620,1,41.646678,-73.480072,0.0329843260654946
"216",216,"2020-02-27",6756,0,0,9044,1,41.8488635,-73.2362045,0.0391483261071303
"217",217,"2020-02-27",6757,0,0,8177,2,41.728729495,-73.44868737,0.139137427735837
"218",218,"2020-02-27",6759,0,0,7427,1,41.7560665,-73.2157455,0.0321488962845706
"219",219,"2020-02-27",6762,0,0,7203,2,41.528874,-73.117314,0.122564130118776
"220",220,"2020-02-27",6763,0,0,6819,2,41.69008,-73.211809,0.116030099025397
"221",221,"2020-02-27",6770,0,0,7755,3,41.487842,-73.061246,0.518715354049411
"222",222,"2020-02-27",6776,0,0,7812,2,41.5873105,-73.4159895,0.132926695055933
"223",223,"2020-02-27",6777,0,0,7571,1,41.708186,-73.3326235,0.0327722221314777
"224",224,"2020-02-27",6778,0,0,7291,2,41.694945,-73.108706,0.124061512244343
"225",225,"2020-02-27",6779,0,0,6477,3,41.5953465,-73.080253,0.433232669010708
"226",226,"2020-02-27",6782,0,0,8147,1,41.6576475,-73.047044,0.0352655255191056
"227",227,"2020-02-27",6783,0,0,6892,2,41.553791,-73.301041,0.117272245561378
"228",228,"2020-02-27",6784,0,0,7390,1,41.581341899,-73.48735161,0.0319887361711293
"229",229,"2020-02-27",6785,0,1,6928,3,41.7081015,-73.448479,0.463399093856134
"230",230,"2020-02-27",6786,0,0,7804,1,41.6642475,-73.019497,0.0337807979809868
"231",231,"2020-02-27",6787,0,0,8060,1,41.679492,-73.102229,0.0348889328199326
"232",232,"2020-02-27",6790,0,0,7134,2,41.8393655,-73.1254955,0.121390046406685
"233",233,"2020-02-27",6791,0,0,7731,2,41.720315,-73.060313,0.131548422872173
"234",234,"2020-02-27",6793,0,0,6568,1,41.636105,-73.297241,0.0284305844617019
"235",235,"2020-02-27",6794,0,0,6149,1,41.6413695,-73.3239855,0.0266168793932711
"236",236,"2020-02-27",6795,1,0,8106,3,41.615246,-73.117246,0.542192992898069
"237",237,"2020-02-27",6796,0,0,7334,2,41.874194,-73.3521925,0.124793187601153
"238",238,"2020-02-27",6798,0,0,7936,3,41.562687,-73.2062455,0.530822056703563
"239",239,"2020-02-27",6801,0,0,7422,3,41.3806945,-73.3915145,0.496441696680171
"240",240,"2020-02-27",6804,0,0,6295,1,41.4673445,-73.388264,0.0272488625436074
"241",241,"2020-02-27",6807,0,0,8262,1,41.0620965,-73.5880685,0.0357633204662882
"242",242,"2020-02-27",6810,0,0,6796,3,41.3781445,-73.4690945,0.4545698963404
"243",243,"2020-02-27",6811,0,0,8313,1,41.423144,-73.47701706,0.0359840817037344
"244",244,"2020-02-27",6812,0,0,7934,3,41.486794,-73.4910675,0.530688280983628
"245",245,"2020-02-27",6820,0,0,7418,2,41.0753465,-73.481017,0.12622250690283
"246",246,"2020-02-27",6830,0,0,6673,2,41.0422335,-73.62692,0.113545805953435
"247",247,"2020-02-27",6831,0,0,7586,1,41.081675289,-73.6635725,0.0328371519071971
"248",248,"2020-02-27",6840,0,0,8912,3,41.162787137,-73.50212314,0.596104608032025
"249",249,"2020-02-27",6850,0,0,8236,1,41.127096,-73.442314,0.0356507755217078
"250",250,"2020-02-27",6851,0,0,7934,1,41.139596,-73.405613,0.034343522703889
"251",251,"2020-02-27",6853,0,0,7550,2,41.0694885,-73.4376635,0.128468580091179
"252",252,"2020-02-27",6854,0,0,7827,2,41.091746,-73.4320135,0.133181930645518
"253",253,"2020-02-27",6855,0,0,7445,3,41.102351341,-73.3981625,0.497980117459428
"254",254,"2020-02-27",6870,0,0,6996,3,41.0330965,-73.5693675,0.467947468333937
"255",255,"2020-02-27",6877,0,0,8180,2,41.307351587,-73.4947135,0.139188474853754
"256",256,"2020-02-27",6878,0,0,6660,1,41.03435812,-73.5826185,0.028828820419448
"257",257,"2020-02-27",6880,0,0,7524,2,41.144796454,-73.3427615,0.128026171735898
"258",258,"2020-02-27",6883,0,0,7116,1,41.2246455,-73.3775635,0.0308026856013201
"259",259,"2020-02-27",6896,0,0,6906,1,41.302195,-73.388264,0.0298936687412475
"260",260,"2020-02-27",6897,0,0,6801,1,41.209449,-73.44091207,0.0294391603112111
"261",261,"2020-02-27",6901,1,1,8444,3,41.0526965,-73.5356165,0.564801089567147
"262",262,"2020-02-27",6902,0,0,6849,1,41.0609965,-73.542467,0.0296469355935135
"263",263,"2020-02-27",6903,0,0,6518,1,41.126685418,-73.570019,0.0282141518759703
"264",264,"2020-02-27",6905,0,0,7258,1,41.085846,-73.5449175,0.0314173541447979
"265",265,"2020-02-27",6906,0,0,7898,1,41.077346,-73.5208165,0.0341876912421623
"266",266,"2020-02-27",6907,0,0,7072,4,41.097796,-73.5188285,1.8594601779805
"267",267,"2020-02-28",6001,0,0,6618,1,41.7922485,-72.8546215,0.0286470170474335
"268",268,"2020-02-28",6002,0,0,6949,2,41.852748,-72.736193,0.118242140801802
"269",269,"2020-02-28",6010,0,0,6295,2,41.681598,-72.940477,0.10711386909589
"270",270,"2020-02-28",6013,0,0,7777,1,41.7586945,-72.95751,0.0336639243846918
"271",271,"2020-02-28",6016,0,0,8025,1,41.9068475,-72.5516315,0.0347374300099205
"272",272,"2020-02-28",6018,0,0,8353,2,42.021107878,-73.29613924,0.142132191986969
"273",273,"2020-02-28",6019,0,0,9038,3,41.852411,-72.8994735,0.604532478387954
"274",274,"2020-02-28",6020,0,0,7409,1,41.8742965,-72.8993385,0.0320709805537073
"275",275,"2020-02-28",6021,0,0,7938,1,42.016421379,-73.1119775,0.0343608373107475
"276",276,"2020-02-28",6022,0,0,7138,2,41.866526,-72.920646,0.121458109230574
"277",277,"2020-02-28",6023,0,0,7539,1,41.6139485,-72.7205765,0.0326337052766094
"278",278,"2020-02-28",6024,0,0,7230,2,42.021986,-73.269836,0.12302355418003
"279",279,"2020-02-28",6026,0,0,8688,1,41.9385965,-72.735138,0.0376073260967214
"280",280,"2020-02-28",6027,1,0,6976,4,42.004306649,-72.913469,1.83421863710294
"281",281,"2020-02-28",6029,0,0,7215,2,41.907197,-72.4231275,0.122768318590445
"282",282,"2020-02-28",6031,0,0,7372,2,41.946962,-73.3304885,0.125439784428102
"283",283,"2020-02-28",6032,0,0,7960,1,41.725199,-72.8295075,0.0344560676484694
"284",284,"2020-02-28",6033,0,0,7295,1,41.703899,-72.5461325,0.0315775142582392
"285",285,"2020-02-28",6035,0,0,7555,1,41.960306365,-72.79614,0.0327029637040435
"286",286,"2020-02-28",6037,0,0,6709,3,41.603448,-72.7762915,0.448750652523211
"287",287,"2020-02-28",6039,1,0,6303,2,41.967320505,-73.43203767,0.107249994743669
"288",288,"2020-02-28",6040,0,0,6193,2,41.7770485,-72.523631,0.105378267086712
"289",289,"2020-02-28",6043,0,0,7412,1,41.766929,-72.438478,0.0320839665088511
"290",290,"2020-02-28",6051,0,0,8556,1,41.666649,-72.769641,0.03703594407039
"291",291,"2020-02-28",6052,0,0,7542,2,41.6571985,-72.8041925,0.1283324544434
"292",292,"2020-02-28",6053,0,0,7575,2,41.690297,-72.7906915,0.128893972740488
"293",293,"2020-02-28",6057,0,0,6948,2,41.85597,-73.0064315,0.118225125095829
"294",294,"2020-02-28",6058,0,0,8470,2,41.959432588,-73.199483,0.144123029585733
"295",295,"2020-02-28",6059,0,0,8048,2,41.928609,-72.916584,0.136942401665405
"296",296,"2020-02-28",6060,0,0,8383,2,41.996753,-72.8444925,0.14264266316614
"297",297,"2020-02-28",6062,0,0,8372,1,41.6738525,-72.8539445,0.0362394721548977
"298",298,"2020-02-28",6063,0,0,5711,2,41.9320325,-72.966924,0.0971766968080429
"299",299,"2020-02-28",6065,0,0,6607,1,41.976322423,-73.02232,0.0285994018785725
"300",300,"2020-02-28",6066,0,0,6782,1,41.8358975,-72.4632105,0.0293569159286331
"301",301,"2020-02-28",6067,0,0,8042,1,41.657749,-72.662687,0.0348110170890692
"302",302,"2020-02-28",6068,0,0,8758,3,42.0082755,-73.41461884,0.585803877597001
"303",303,"2020-02-28",6069,0,0,8183,2,41.855067717,-73.44148419,0.139239521971671
"304",304,"2020-02-28",6070,0,0,6861,1,41.868613,-72.8216415,0.0296988794140891
"305",305,"2020-02-28",6071,1,0,7242,1,41.9908563,-72.4517345,0.0313480957173638
"306",306,"2020-02-28",6073,0,0,7504,1,41.663449,-72.554933,0.0324822024665973
